step,alive_ratio,c_mean,c_variance,p_mean_serial,p_variance,pc_serial,pc_env,robustness_mean,robustness_variance,energy_mean,energy_variance,birth_rate,death_rate,mutation_events
0,0.745625,1.0209555741827325,0.020516438093404598,0.9862654171791166,2.7451903596052127e-07,1.0069331752926773,1.0069331752926773,0.9862654171791166,2.7451903596052127e-07,3.884615595061539,1.3986227846542973,0.0,0.0,0
1,0.98,1.0267857142857142,0.026068239795918366,0.9812631858247896,1.8873753097782196e-06,1.007547021159382,1.007547021159382,0.9812631858247896,1.8873753097782196e-06,3.8673693892931493,3.6674193831116706,0.234375,0.0,0
2,0.985625,1.0247305009511731,0.024118903273877144,0.9614008270934157,1.8786469704259356e-05,0.9851767511623081,0.9851767511623081,0.9614008270934157,1.8786469704259356e-05,4.346371106594218,3.7877692734944115,0.005625,0.0,0
3,0.994375,1.0238843494657448,0.023313887316342992,0.9796737014638023,2.3713859185332803e-06,1.0030725705119634,1.0030725705119634,0.9796737014638023,2.3713859185332803e-06,4.831072763784419,3.841823485231936,0.00875,0.0,0
4,0.993125,1.025802391441158,0.02639528127810731,0.9637834317470141,1.7240528067639567e-05,0.9886513491174531,0.9886513491174531,0.9637834317470141,1.7240528067639567e-05,5.268851847336591,3.791120627302625,0.0,0.00125,0
5,0.985,1.0253807106598984,0.02600556571929192,0.9587332998487801,2.4180212695470983e-05,0.9830666323322517,0.9830666323322517,0.9587332998487801,2.4180212695470983e-05,5.693545673120499,3.9600781215136243,0.0,0.008125,0
6,0.994375,1.0276555625392834,0.028147803424432134,0.9807499762741958,2.2805261055899146e-06,1.0078731685784474,1.0078731685784474,0.9807499762741958,2.2805261055899146e-06,6.119609565121933,4.3799694313546675,0.009375,0.0,0
7,0.9925,1.029596977329975,0.029980442106732487,0.9833883517989185,1.2362974953292462e-06,1.0124936745536726,1.0124936745536726,0.9833883517989185,1.2362974953292462e-06,6.6172109082080555,4.624912949430665,0.0,0.001875,0
8,0.985625,1.0310716550412176,0.03264266893023485,0.9723907620153075,9.521143049733741e-06,1.002604552337914,1.002604552337914,0.9723907620153075,9.521143049733741e-06,6.9404315929887375,4.952716213598519,0.0,0.006875,0
9,0.994375,1.0314267756128221,0.03295327543642923,0.9877211913462081,1.6085608914992772e-07,1.0187620835946747,1.0187620835946747,0.9877211913462081,1.6085608914992772e-07,7.340556906973056,5.614599846101883,0.00875,0.0,0
10,0.9925,1.0327455919395465,0.03419220983573274,0.9684893289347879,1.4833662329462654e-05,1.0002030852978916,1.0002030852978916,0.9684893289347879,1.4833662329462654e-05,7.650868787493175,6.117710789369866,0.0,0.001875,0
11,0.994375,1.0320553111250785,0.03354191020277875,0.9828361682092666,1.6161162811515911e-06,1.0143412873661946,1.0143412873661946,0.9828361682092666,1.6161162811515911e-06,8.043292205808044,6.779133368651478,0.001875,0.0,0
12,0.985625,1.036144578313253,0.03610637858981901,0.9309702820183043,0.00011718840156288755,0.9646198102840262,0.9646198102840262,0.9309702820183043,0.00011718840156288755,8.06501695666793,7.823844002805058,0.0,0.00875,0
13,0.988125,1.0354206198608475,0.0354310216874083,0.9703936051568307,1.2704148034254142e-05,1.0047655481604882,1.0047655481604882,0.9703936051568307,1.2704148034254142e-05,8.25968283899919,8.630267785254633,0.0025,0.0,0
14,0.9925,1.0371536523929472,0.03703270435063988,0.9834640455481582,1.4706768622424144e-06,1.0200033268374162,1.0200033268374162,0.9834640455481582,1.4706768622424144e-06,8.639475850673719,9.464717232820869,0.004375,0.0,0
15,0.98875,1.0429835651074588,0.04366442324443287,0.98277887304892,2.093065205949861e-06,1.0250222127248532,1.0250222127248532,0.98277887304892,2.093065205949861e-06,8.954534436888133,10.41247903078594,0.0,0.00375,0
16,0.9875,1.0449367088607595,0.04544904662714308,0.9649372139698592,2.614589409673514e-05,1.0082983166229351,1.0082983166229351,0.9649372139698592,2.614589409673514e-05,9.210511410458945,11.75936202773842,0.0,0.00125,0
17,0.991875,1.0459987397605546,0.04640333459198457,0.9665139483148117,2.3394129655520854e-05,1.0109723718982908,1.0109723718982908,0.9665139483148117,2.3394129655520854e-05,9.356761836745694,13.09932622703277,0.004375,0.0,0
18,0.993125,1.0509754562618,0.0508942656027654,0.9831414765921209,2.167429372191291e-06,1.033257561931304,1.033257561931304,0.9831414765921209,2.167429372191291e-06,9.624041925303155,13.931708277245631,0.00125,0.0,0
19,0.993125,1.0509754562618,0.04837695912070121,0.9837471850485447,1.712397442190329e-06,1.0338941466526557,1.0338941466526557,0.9837471850485447,1.712397442190329e-06,9.918681810735952,14.874737486578766,0.0,0.0,0
20,0.99125,1.0479192938209332,0.04562303510063624,0.9612572672239098,3.432295059030075e-05,1.0073200366495196,1.0073200366495196,0.9612572672239098,3.432295059030075e-05,10.091929141205963,16.618552747476457,0.0,0.001875,0
21,0.995625,1.048964218455744,0.04656672376676206,0.9855777490058478,8.276393142921146e-07,1.0338357932132904,1.0338357932132904,0.9855777490058478,8.276393142921146e-07,10.354159163772932,18.22405575175564,0.004375,0.0,0
22,0.99625,1.0508155583437893,0.04948804251828927,0.9851119126370289,1.0708415295962447e-06,1.0351709245087977,1.0351709245087977,0.9851119126370289,1.0708415295962447e-06,10.628528785220078,19.51470712702425,0.000625,0.0,0
23,0.991875,1.052930056710775,0.05138870525286382,0.9788318632033214,5.781360877436333e-06,1.030641489232987,1.030641489232987,0.9788318632033214,5.781360877436333e-06,10.863039499478512,21.068852219586663,0.0,0.004375,0
24,0.9925,1.0547858942065491,0.05304384584636664,0.9703197281353079,1.846581859110863e-05,1.0234795621074564,1.0234795621074564,0.9703197281353079,1.846581859110863e-05,11.117839376123106,22.856000146164334,0.000625,0.0,0
25,0.99125,1.0491803278688525,0.048022657267483934,0.9794035052880002,4.898581759343064e-06,1.0275708907939676,1.0275708907939676,0.9794035052880002,4.898581759343064e-06,11.311117836370427,23.886532652005844,0.0,0.00125,0
26,0.995625,1.0502197112366605,0.050208677401799864,0.9873841886146854,3.114808150409483e-07,1.036970337446559,1.036970337446559,0.9873841886146854,3.114808150409483e-07,11.503481084206868,25.271082336623312,0.004375,0.0,0
27,0.99375,1.0553459119496855,0.05479846525058345,0.9868335787792727,4.933056683952542e-07,1.0414507831393833,1.0414507831393833,0.9868335787792727,4.933056683952542e-07,11.77165394479403,26.592430778072245,0.0,0.001875,0
28,0.994375,1.054054054054054,0.054903426367914114,0.9759047072216257,9.817974162318906e-06,1.0286563130173891,1.0286563130173891,0.9759047072216257,9.817974162318906e-06,11.828081685784461,28.640739865701626,0.000625,0.0,0
29,0.993125,1.0566393958464444,0.05720733440769039,0.9805349243427403,4.590355215215817e-06,1.036071830063852,1.036071830063852,0.9805349243427403,4.590355215215817e-06,11.924192954630927,30.407855663612253,0.0,0.00125,0
30,0.99625,1.053952321204517,0.054805583674034854,0.9726506594456238,1.4850764866788493e-05,1.0251274202438194,1.0251274202438194,0.9726506594456238,1.4850764866788493e-05,11.956458284313197,31.697558770688133,0.003125,0.0,0
31,0.99625,1.056461731493099,0.055783214658482475,0.9761068159469245,9.647162104199328e-06,1.0312194968975037,1.0312194968975037,0.9761068159469245,9.647162104199328e-06,12.062402934510525,33.787785693073246,0.0,0.0,0
