step,alive_ratio,c_mean,p_mean_serial,p_mean_env,pc_serial,pc_env
1,0.5777777777777777,1.0192307692307692,0.9679681844177385,0.9806059204950657,0.9865829571950026,0.9994637266584323
2,0.8855555555555555,1.027603513174404,0.9678705144970748,0.9884416183653019,0.9945871409951119,1.0157260795999776
3,0.97,1.0355097365406645,0.9677782866427264,0.937906859023096,1.0021438386311852,0.9712116844866883
4,0.9877777777777778,1.0371203599550056,0.9677594983623065,0.9899822958639257,1.003683079291391,1.0267307950354776
5,0.9988888888888889,1.0367074527252502,0.967764315016995,0.9844518605594447,1.0032884778596656,1.0205885806912152
6,0.9955555555555555,1.0379464285714286,0.9677498620881326,0.9898372199985627,1.0044725131048697,1.0273980073645796
7,0.9933333333333333,1.0425055928411633,0.9676966784227159,0.9688754842563271,1.008829199429498,1.0100581111039115
8,0.9866666666666667,1.0484234234234233,0.9676276456125213,0.9509567271904347,1.0144834888122267,0.9970053074485299
9,0.9877777777777778,1.0562429696287965,0.9675365869631504,0.9607744298934688,1.0219537178384683,1.0148112369740914
10,0.99,1.0549943883277217,0.9675511515869063,0.9597192644665097,1.020761035344211,1.0124984383821765
11,0.9866666666666667,1.0506756756756757,0.9676015308636241,0.9842649196463252,1.0166353922249565,1.0341432094932674
12,0.99,1.0549943883277217,0.9675513093286457,0.9840312582693483,1.020761201760861,1.0381474554132295
13,0.9944444444444445,1.053631284916201,0.9675672088231884,0.9599508097813773,1.0194590814751583,1.0114342051663003
14,0.9922222222222222,1.0526315789473684,0.9675790287075712,0.9490214044111377,1.0185042407448117,0.9989698993801449
15,0.9988888888888889,1.0556173526140156,0.9675443521803091,0.9860708179323657,1.0213566075852205,1.040913466315701
16,0.9933333333333333,1.0615212527964206,0.9674756425812274,0.9675498065445982,1.0269959561628466,1.0270746827861563
17,0.99,1.0617283950617284,0.9674732288672961,0.9499121444415156,1.0271937985504627,1.0085486965675352
18,0.9888888888888889,1.0617977528089888,0.9674722627609578,0.9622025501205175,1.0272598745046124,1.021664505465044
19,0.9944444444444445,1.0636871508379888,0.9674502189837272,0.9779092611905774,1.0290643670083892,1.0401895158138879
20,0.99,1.063973063973064,0.9674468865633677,0.9558048209080209,1.0293374281280276,1.0169505838617328
21,0.9933333333333333,1.0671140939597314,0.9674102436324957,0.9898456655608328,1.0323371056212538,1.0562782605649155
22,0.9933333333333333,1.0682326621923937,0.9673970380728257,0.9836860522610742,1.033405113377571,1.0508055703683734
23,0.9877777777777778,1.0708661417322836,0.9673666367940171,0.9704269538980774,1.0359201779841445,1.0391973679538469
24,0.9922222222222222,1.076147816349384,0.967305178732329,0.9805039578459334,1.0409633558362466,1.0551671931578297
25,0.9888888888888889,1.0752808988764044,0.9673151367816617,0.9820191043416704,1.0401354897753372,1.055946385230313
26,0.9944444444444445,1.0815642458100558,0.9672418357307723,0.98449320421232,1.0461341865780867,1.0647926499190232
27,0.9822222222222222,1.0757918552036199,0.9673088637400301,0.9246646602868357,1.0406229970777925,0.9947467103311999
28,0.9955555555555555,1.0803571428571428,0.9672556022559552,0.9831500366177276,1.0449814988658086,1.0621531645602236
29,0.9844444444444445,1.0812641083521444,0.9672451862449635,0.9258477967248613,1.0458475038630644,1.0010859923955044
30,0.9922222222222222,1.0806270996640537,0.9672526121191145,0.9885534279265901,1.0452393848767587,1.068257623683269
31,0.99,1.0729517396184063,0.9673421483146112,0.9630089688676041,1.0379114408403685,1.0332621484146236
32,0.9855555555555555,1.0744081172491544,0.9673251621909673,0.9591046377151956,1.0393020062773302,1.0304698080525156
33,0.9888888888888889,1.0764044943820226,0.9673017139521843,0.9613428897946423,1.0412079123215647,1.0347938072171545
34,0.9955555555555555,1.0747767857142858,0.9673205415019224,0.9469049512945836,1.0396536623508386,1.0177114599293349
35,0.9933333333333333,1.0794183445190157,0.9672663973877671,0.9842260368312725,1.044085093377176,1.062391639308924
36,0.9977777777777778,1.081291759465479,0.9672445421851096,0.9742597680527936,1.0458735528527188,1.0534590587742345
37,0.9911111111111112,1.0795964125560538,0.9672641633245925,0.9642664349722109,1.044254920719263,1.041018583944214
38,0.9833333333333333,1.0824858757062148,0.9672306171516203,0.9486847993940778,1.0470134816172343,1.026937895841273
39,0.99,1.0819304152637486,0.9672369368406364,0.9743005932391372,1.0464830607344258,1.0541254454349362
40,0.9877777777777778,1.0809898762654668,0.9672480668887677,0.9397962013730671,1.045585368144101,1.0159101794370275
41,0.9811111111111112,1.0668176670441676,0.9674130726687891,0.9082070699759129,1.0320533572525472,0.9688913475847225
42,0.9811111111111112,1.0645526613816534,0.9674394944637046,0.9527731968984471,1.029890288557058,1.014277242451348
43,1.0,1.07,0.9673759500469326,0.9637847500575094,1.0350922665502178,1.0312496825615352
44,0.9866666666666667,1.070945945945946,0.9673649153770425,0.9478388029895175,1.0359955343733869,1.015084123471882
45,0.9833333333333333,1.071186440677966,0.967362109952494,0.9528439823301755,1.0362251754067393,1.0206735539536795
46,0.9922222222222222,1.070548712206047,0.967369549196985,0.9770897734922512,1.0356162251201766,1.046022198721828
