grid_size,initial_density,initial_complexity,initial_energy,r_mean,r_noise,env_sigma,birth_energy_threshold,p_down,gamma,beta,p_up,r,final_alive_ratio,final_c_mean,final_pc_serial,final_pc_env,collapse_detected,max_c_mean,min_alive_ratio,pc_serial_correlation,pc_env_correlation,c_p_correlation
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.03,0.95,0.9852,1.0710515631343889,0.9845375057263342,1.052159235373068,False,1.0855636658556367,0.5496,0.04833516077016121,0.03550324297310628,-0.9999892753033424
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.03,0.98,0.9944,1.078841512469831,1.0435343072657992,1.059751836842236,False,1.0881642512077294,0.5636,0.4137810782520405,0.3036176811744924,-0.9999993775103796
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.03,0.99,0.996,1.074698795180723,1.0570803433196119,1.0557141774765697,False,1.0798875953432356,0.5744,0.5619546895673078,0.3849084718927934,-0.9999996791157396
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.03,0.995,0.9988,1.0640768922707249,1.0553739559633704,1.0453605239233648,False,1.091309571485783,0.5784,0.5673518441827491,0.40979503129491013,-0.999999964513241
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.05,0.95,0.99,1.1268686868686868,1.034096857817541,1.1065431877188225,False,1.1567194478278522,0.542,0.27895301528309857,0.20568947697603926,-0.9999792694842716
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.05,0.98,0.9928,1.1240934730056407,1.0867128838986613,1.103840280681182,False,1.1478050745066453,0.5708,0.24294267052147162,0.20404998804526117,-0.9999981358619531
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.05,0.99,0.9972,1.0894504612916165,1.0714951241588673,1.0700906300734532,False,1.1458417034953796,0.578,0.4116679312872104,0.319645020033966,-0.9999995816962968
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.05,0.995,0.9956,1.1020490156689433,1.0929108591836398,1.0823662784520647,False,1.1263537906137184,0.5796,0.6949293717874229,0.5479887166409823,-0.9999998952375222
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.08,0.95,0.99,1.208080808080808,1.105889597359381,1.1855907194343305,False,1.2350061199510405,0.5388,0.17009346786640284,0.13793310181502055,-0.9999796444612392
50,0.3,1,5.0,1.0,0.2,0.05,3.0,0.03,1.2,0.3,0.08,0.98,0.994,1.2346076458752515,1.1919636049460711,1.211390139544312,False,1.2435483870967743,0.5748,0.49080290011734856,0.41879872460910206,-0.9999986047428104
